"Country or Area","Year(s)","Value","Value Footnotes"
"Denmark","2005","3247.8",""
"Denmark","2004","3127.1",""
"Denmark","2003","2898.3",""
"Denmark","2002","2874.5",""
"Denmark","2001","2683.3",""
"Denmark","2000","2511.4",""
"Denmark","1999","2414.2",""
"Denmark","1998","2134.5",""
"Denmark","1997","2060.6",""
"Denmark","1996","1978.4",""
"Denmark","1995","1869.8",""
"Djibouti","2012","231.4",""
"Djibouti","2011","218.1",""
"Djibouti","2010","206.8",""
"Djibouti","2009","188.2",""
"Djibouti","2008","175.3",""
"Djibouti","2007","158.5",""
"Djibouti","2006","136.5",""
"Djibouti","2005","131.5",""
"Djibouti","2004","118.0",""
"Djibouti","2003","104.3",""
"Djibouti","2002","88.3",""
"Djibouti","2001","85.3",""
"Djibouti","2000","89.6",""
"Djibouti","1999","96.2",""
"Djibouti","1998","81.4",""
"Djibouti","1997","70.8",""
"Djibouti","1996","57.5",""
"Djibouti","1995","61.9",""
"Dominica","2012","740.0",""
"Dominica","2011","758.2",""
"Dominica","2010","733.6",""
"Dominica","2009","602.7",""
"Dominica","2008","594.1",""
"Dominica","2007","558.6",""
"Dominica","2006","502.5",""
"Dominica","2005","442.2",""
"Dominica","2004","405.5",""
"Dominica","2003","406.7",""
"Dominica","2002","381.1",""
"Dominica","2001","376.9",""
"Dominica","2000","369.2",""
"Dominica","1999","456.2",""
"Dominica","1998","440.7",""
"Dominica","1997","428.2",""
"Dominica","1996","401.9",""
"Dominica","1995","378.7",""
"Dominican Republic","2012","552.5",""
"Dominican Republic","2011","521.2",""
"Dominican Republic","2010","504.0",""
"Dominican Republic","2009","466.1",""
"Dominican Republic","2008","438.5",""
"Dominican Republic","2007","389.8",""
"Dominican Republic","2006","371.5",""
"Dominican Republic","2005","333.3",""
"Dominican Republic","2004","290.5",""
"Dominican Republic","2003","359.4",""
"Dominican Republic","2002","348.2",""
"Dominican Republic","2001","323.3",""
"Dominican Republic","2000","323.1",""
"Dominican Republic","1999","284.0",""
"Dominican Republic","1998","262.3",""
"Dominican Republic","1997","238.0",""
"Dominican Republic","1996","207.7",""
"Dominican Republic","1995","200.6",""
"Ecuador","2012","652.2",""
"Ecuador","2011","665.0",""
"Ecuador","2010","636.1",""
"Ecuador","2009","593.3",""
"Ecuador","2008","525.8",""
"Ecuador","2007","526.5",""
"Ecuador","2006","489.1",""
"Ecuador","2005","450.0",""
"Ecuador","2004","438.6",""
"Ecuador","2003","410.7",""
"Ecuador","2002","285.4",""
"Ecuador","2001","229.7",""
"Ecuador","2000","198.1",""
"Ecuador","1999","217.6",""
"Ecuador","1998","204.0",""
"Ecuador","1997","206.2",""
"Ecuador","1996","198.8",""
"Ecuador","1995","179.4",""
"Egypt","2012","323.1",""
"Egypt","2011","307.8",""
"Egypt","2010","294.6",""
"Egypt","2009","292.9",""
"Egypt","2008","272.4",""
"Egypt","2007","260.2",""
"Egypt","2006","254.6",""
"Egypt","2005","230.3",""
"Egypt","2004","223.2",""
"Egypt","2003","226.6",""
"Egypt","2002","239.3",""
"Egypt","2001","220.9",""
"Egypt","2000","199.5",""
"Egypt","1999","185.4",""
"Egypt","1998","166.3",""
"Egypt","1997","151.7",""
"Egypt","1996","127.5",""
"Egypt","1995","110.2",""
"El Salvador","2012","475.4",""
"El Salvador","2011","466.7",""
"El Salvador","2010","456.7",""
"El Salvador","2009","441.9",""
"El Salvador","2008","413.4",""
"El Salvador","2007","407.8",""
"El Salvador","2006","405.3",""
"El Salvador","2005","408.5",""
"El Salvador","2004","388.9",""
"El Salvador","2003","373.5",""
"El Salvador","2002","379.2",""
"El Salvador","2001","377.5",""
"El Salvador","2000","370.9",""
"El Salvador","1999","366.3",""
"El Salvador","1998","351.5",""
"El Salvador","1997","354.7",""
"El Salvador","1996","301.3",""
"El Salvador","1995","238.6",""
"Equatorial Guinea","2012","1431.7",""
"Equatorial Guinea","2011","1326.9",""
"Equatorial Guinea","2010","1221.6",""
"Equatorial Guinea","2009","1653.0",""
"Equatorial Guinea","2008","1000.7",""
"Equatorial Guinea","2007","603.7",""
"Equatorial Guinea","2006","482.8",""
"Equatorial Guinea","2005","402.9",""
"Equatorial Guinea","2004","484.5",""
"Equatorial Guinea","2003","321.6",""
"Equatorial Guinea","2002","267.2",""
"Equatorial Guinea","2001","191.4",""
"Equatorial Guinea","2000","180.6",""
"Equatorial Guinea","1999","170.8",""
"Equatorial Guinea","1998","259.5",""
"Equatorial Guinea","1997","172.4",""
"Equatorial Guinea","1996","114.5",""
"Equatorial Guinea","1995","113.3",""
"Eritrea","2012","16.5",""
"Eritrea","2011","14.9",""
"Eritrea","2010","15.7",""
"Eritrea","2009","15.5",""
"Eritrea","2008","16.6",""
"Eritrea","2007","18.0",""
"Eritrea","2006","17.5",""
"Eritrea","2005","15.6",""
"Eritrea","2004","16.0",""
"Eritrea","2003","17.5",""
"Eritrea","2002","21.1",""
"Eritrea","2001","20.3",""
"Eritrea","2000","21.5",""
"Eritrea","1999","26.0",""
"Eritrea","1998","24.4",""
"Eritrea","1997","23.8",""
"Eritrea","1996","19.3",""
"Eritrea","1995","21.9",""
"Estonia","2012","1385.4",""
"Estonia","2011","1293.7",""
"Estonia","2010","1268.8",""
"Estonia","2009","1321.7",""
"Estonia","2008","1318.3",""
"Estonia","2007","1099.9",""
"Estonia","2006","949.3",""
"Estonia","2005","821.0",""
"Estonia","2004","745.9",""
"Estonia","2003","648.7",""
"Estonia","2002","570.6",""
"Estonia","2001","509.8",""
"Estonia","2000","509.1",""
"Estonia","1999","494.3",""
"Estonia","1998","467.5",""
"Estonia","1997","491.7",""
"Estonia","1996","452.8",""
"Estonia","1995","395.8",""
"Ethiopia","2012","43.7",""
"Ethiopia","2011","42.8",""
"Ethiopia","2010","46.0",""
"Ethiopia","2009","40.5",""
"Ethiopia","2008","36.6",""
"Ethiopia","2007","36.8",""
"Ethiopia","2006","28.9",""
"Ethiopia","2005","25.5",""
"Ethiopia","2004","23.9",""
"Ethiopia","2003","23.9",""
"Ethiopia","2002","23.6",""
"Ethiopia","2001","23.7",""
"Ethiopia","2000","20.0",""
"Ethiopia","1999","17.2",""
"Ethiopia","1998","15.4",""
"Ethiopia","1997","13.8",""
"Ethiopia","1996","12.9",""
"Ethiopia","1995","11.1",""
"Fiji","2012","197.1",""
"Fiji","2011","180.9",""
"Fiji","2010","193.0",""
"Fiji","2009","195.2",""
"Fiji","2008","168.5",""
"Fiji","2007","170.8",""
"Fiji","2006","173.2",""
"Fiji","2005","156.0",""
"Fiji","2004","150.8",""
"Fiji","2003","129.5",""
"Fiji","2002","130.6",""
"Fiji","2001","117.6",""
"Fiji","2000","133.4",""
"Fiji","1999","108.7",""
"Fiji","1998","100.5",""
"Fiji","1997","109.4",""
"Fiji","1996","102.8",""
"Fiji","1995","92.7",""
"Finland","2012","3544.7",""
"Finland","2011","3382.0",""
"Finland","2010","3245.9",""
"Finland","2009","3266.8",""
"Finland","2008","3171.0",""
"Finland","2007","2913.9",""
"Finland","2006","2767.5",""
"Finland","2005","2593.2",""
"Finland","2004","2455.5",""
"Finland","2003","2254.8",""
"Finland","2002","2152.0",""
"Finland","2001","1973.2",""
"Finland","2000","1854.9",""
"Finland","1999","1743.0",""
"Finland","1998","1659.9",""
"Finland","1997","1616.8",""
"Finland","1996","1548.8",""
"Finland","1995","1475.9",""
"France","2012","4260.2",""
"France","2011","4128.4",""
"France","2010","4026.6",""
"France","2009","3971.2",""
"France","2008","3773.7",""
"France","2007","3610.4",""
"France","2006","3446.0",""
"France","2005","3265.7",""
"France","2004","3101.6",""
"France","2003","2964.2",""
"France","2002","2931.2",""
"France","2001","2726.5",""
"France","2000","2553.5",""
"France","1999","2403.7",""
"France","1998","2311.7",""
"France","1997","2226.2",""
"France","1996","2160.5",""
"France","1995","2096.6",""
"Gabon","2012","558.2",""
"Gabon","2011","516.4",""
"Gabon","2010","490.7",""
"Gabon","2009","493.6",""
"Gabon","2008","376.3",""
"Gabon","2007","457.5",""
"Gabon","2006","421.6",""
"Gabon","2005","385.3",""
"Gabon","2004","421.0",""
"Gabon","2003","462.6",""
"Gabon","2002","442.1",""
"Gabon","2001","400.7",""
"Gabon","2000","338.5",""
"Gabon","1999","421.3",""
"Gabon","1998","563.7",""
"Gabon","1997","390.3",""
"Gabon","1996","420.0",""
"Gabon","1995","418.8",""
"Gambia","2012","97.7",""
"Gambia","2011","86.7",""
"Gambia","2010","92.1",""
"Gambia","2009","83.7",""
"Gambia","2008","74.1",""
"Gambia","2007","70.2",""
"Gambia","2006","78.3",""
"Gambia","2005","74.7",""
"Gambia","2004","72.1",""
"Gambia","2003","65.5",""
"Gambia","2002","55.1",""
"Gambia","2001","70.3",""
"Gambia","2000","65.8",""
"Gambia","1999","61.2",""
"Gambia","1998","58.2",""
"Gambia","1997","54.9",""
"Gambia","1996","54.3",""
"Gambia","1995","56.4",""
"Georgia","2012","560.7",""
"Georgia","2011","526.3",""
"Georgia","2010","514.5",""
"Georgia","2009","483.3",""
"Georgia","2008","438.1",""
"Georgia","2007","379.3",""
"Georgia","2006","335.7",""
"Georgia","2005","302.6",""
"Georgia","2004","262.7",""
"Georgia","2003","237.5",""
"Georgia","2002","212.7",""
"Georgia","2001","175.5",""
"Georgia","2000","143.5",""
"Georgia","1999","123.5",""
"Georgia","1998","121.6",""
"Georgia","1997","140.2",""
"Georgia","1996","115.1",""
"Georgia","1995","104.1",""
"Germany","2012","4617.0",""
"Germany","2011","4473.8",""
"Germany","2010","4347.2",""
"Germany","2009","4182.1",""
"Germany","2008","3968.1",""
"Germany","2007","3721.2",""
"Germany","2006","3561.2",""
"Germany","2005","3361.9",""
"Germany","2004","3165.8",""
"Germany","2003","3096.5",""
"Germany","2002","2944.9",""
"Germany","2001","2809.2",""
"Germany","2000","2679.0",""
"Germany","1999","2591.5",""
"Germany","1998","2487.3",""
"Germany","1997","2415.7",""
"Germany","1996","2402.4",""
"Germany","1995","2274.0",""
"Ghana","2012","105.9",""
"Ghana","2011","98.8",""
"Ghana","2010","87.7",""
"Ghana","2009","79.0",""
"Ghana","2008","84.3",""
"Ghana","2007","84.0",""
"Ghana","2006","68.3",""
"Ghana","2005","85.8",""
"Ghana","2004","70.4",""
"Ghana","2003","52.6",""
"Ghana","2002","49.2",""
"Ghana","2001","55.7",""
"Ghana","2000","46.3",""
"Ghana","1999","47.1",""
"Ghana","1998","46.9",""
"Ghana","1997","46.1",""
"Ghana","1996","42.6",""
"Ghana","1995","42.6",""
"Greece","2012","2346.5",""
"Greece","2011","2322.4",""
"Greece","2010","2584.6",""
"Greece","2009","2936.4",""
"Greece","2008","3004.1",""
"Greece","2007","2726.8",""
"Greece","2006","2611.6",""
"Greece","2005","2357.0",""
"Greece","2004","2094.3",""
"Greece","2003","2031.7",""
"Greece","2002","1968.5",""
"Greece","2001","1757.8",""
"Greece","2000","1452.6",""
"Greece","1999","1470.5",""
"Greece","1998","1384.5",""
"Greece","1997","1356.3",""
"Greece","1996","1302.1",""
"Greece","1995","1263.1",""
"Grenada","2012","690.9",""
"Grenada","2011","693.8",""
"Grenada","2010","620.9",""
"Grenada","2009","646.6",""
"Grenada","2008","657.8",""
"Grenada","2007","656.2",""
"Grenada","2006","634.5",""
"Grenada","2005","609.0",""
"Grenada","2004","502.5",""
"Grenada","2003","522.0",""
"Grenada","2002","502.6",""
"Grenada","2001","550.8",""
"Grenada","2000","476.0",""
"Grenada","1999","533.6",""
"Grenada","1998","451.5",""
"Grenada","1997","413.4",""
"Grenada","1996","372.8",""
"Grenada","1995","351.6",""
"Guatemala","2012","368.2",""
"Guatemala","2011","329.2",""
"Guatemala","2010","327.8",""
"Guatemala","2009","332.0",""
"Guatemala","2008","330.1",""
"Guatemala","2007","332.3",""
"Guatemala","2006","317.6",""
"Guatemala","2005","262.8",""
"Guatemala","2004","250.8",""
"Guatemala","2003","241.2",""
"Guatemala","2002","231.2",""
"Guatemala","2001","232.0",""
"Guatemala","2000","197.1",""
"Guatemala","1999","167.8",""
"Guatemala","1998","137.0",""
"Guatemala","1997","119.9",""
"Guatemala","1996","110.6",""
"Guatemala","1995","109.7",""
"Guinea","2012","67.3",""
"Guinea","2011","61.8",""
"Guinea","2010","61.8",""
"Guinea","2009","62.7",""
"Guinea","2008","60.7",""
"Guinea","2007","60.6",""
"Guinea","2006","52.0",""
"Guinea","2005","48.8",""
"Guinea","2004","46.2",""
"Guinea","2003","41.7",""
"Guinea","2002","50.7",""
"Guinea","2001","46.9",""
"Guinea","2000","43.2",""
"Guinea","1999","41.8",""
"Guinea","1998","40.6",""
"Guinea","1997","38.7",""
"Guinea","1996","37.3",""
"Guinea","1995","35.8",""
"Guinea-Bissau","2012","65.8",""
"Guinea-Bissau","2011","72.0",""
"Guinea-Bissau","2010","82.1",""
"Guinea-Bissau","2009","68.1",""
"Guinea-Bissau","2008","70.4",""
"Guinea-Bissau","2007","63.4",""
"Guinea-Bissau","2006","58.3",""
"Guinea-Bissau","2005","57.3",""
"Guinea-Bissau","2004","49.0",""
"Guinea-Bissau","2003","52.3",""
"Guinea-Bissau","2002","110.5",""
"Guinea-Bissau","2001","94.8",""
"Guinea-Bissau","2000","85.7",""
"Guinea-Bissau","1999","49.7",""
"Guinea-Bissau","1998","60.8",""
"Guinea-Bissau","1997","84.5",""
"Guinea-Bissau","1996","98.0",""
"Guinea-Bissau","1995","115.8",""
"Guyana","2012","222.9",""
"Guyana","2011","216.6",""
"Guyana","2010","195.0",""
"Guyana","2009","180.3",""
"Guyana","2008","181.8",""
"Guyana","2007","103.7",""
"Guyana","2006","111.1",""
"Guyana","2005","133.1",""
"Guyana","2004","131.9",""
"Guyana","2003","129.8",""
"Guyana","2002","134.4",""
"Guyana","2001","132.1",""
"Guyana","2000","127.3",""
"Guyana","1999","101.6",""
"Guyana","1998","110.0",""
"Guyana","1997","108.3",""
"Guyana","1996","96.6",""
"Guyana","1995","90.4",""
"Haiti","2012","83.7",""
"Haiti","2011","101.0",""
"Haiti","2010","74.5",""
"Haiti","2009","76.0",""
"Haiti","2008","62.8",""
"Haiti","2007","61.1",""
"Haiti","2006","61.3",""
"Haiti","2005","45.5",""
"Haiti","2004","55.9",""
"Haiti","2003","54.2",""
"Haiti","2002","55.2",""
"Haiti","2001","57.0",""
"Haiti","2000","61.6",""
"Haiti","1999","56.7",""
"Haiti","1998","58.7",""
"Haiti","1997","59.7",""
"Haiti","1996","60.4",""
"Haiti","1995","59.5",""
"Honduras","2012","353.8",""
"Honduras","2011","334.7",""
"Honduras","2010","331.2",""
"Honduras","2009","336.3",""
"Honduras","2008","331.2",""
"Honduras","2007","298.0",""
"Honduras","2006","268.9",""
"Honduras","2005","251.2",""
"Honduras","2004","240.0",""
"Honduras","2003","235.7",""
"Honduras","2002","197.8",""
"Honduras","2001","180.8",""
"Honduras","2000","169.3",""
"Honduras","1999","150.0",""
"Honduras","1998","139.5",""
"Honduras","1997","118.5",""
"Honduras","1996","115.0",""
"Honduras","1995","120.1",""
"Hungary","2012","1729.3",""
"Hungary","2011","1689.9",""
"Hungary","2010","1653.9",""
"Hungary","2009","1565.3",""
"Hungary","2008","1523.6",""
"Hungary","2007","1450.7",""
"Hungary","2006","1508.4",""
"Hungary","2005","1432.1",""
"Hungary","2004","1329.2",""
"Hungary","2003","1313.7",""
"Hungary","2002","1112.0",""
"Hungary","2001","969.0",""
"Hungary","2000","851.9",""
"Hungary","1999","808.6",""
"Hungary","1998","761.9",""
"Hungary","1997","677.0",""
"Hungary","1996","656.8",""
"Hungary","1995","656.7",""
"Iceland","2012","3435.9",""
"Iceland","2011","3361.3",""
"Iceland","2010","3351.4",""
"Iceland","2009","3635.7",""
"Iceland","2008","3714.6",""
"Iceland","2007","3500.8",""
"Iceland","2006","3404.3",""
"Iceland","2005","3387.8",""
"Iceland","2004","3401.2",""
"Iceland","2003","3263.5",""
"Iceland","2002","3166.6",""
"Iceland","2001","2861.4",""
"Iceland","2000","2760.8",""
"Iceland","1999","2770.9",""
"Iceland","1998","2489.9",""
"Iceland","1997","2118.9",""
"Iceland","1996","1979.3",""
"Iceland","1995","1904.6",""
"India","2012","156.9",""
"India","2011","145.7",""
"India","2010","127.9",""
"India","2009","123.3",""
"India","2008","114.0",""
"India","2007","107.5",""
"India","2006","100.0",""
"India","2005","94.9",""
"India","2004","90.5",""
"India","2003","79.0",""
"India","2002","74.6",""
"India","2001","73.5",""
"India","2000","66.0",""
"India","1999","59.8",""
"India","1998","58.6",""
"India","1997","54.8",""
"India","1996","48.2",""
"India","1995","46.3",""
"Indonesia","2012","150.1",""
"Indonesia","2011","132.1",""
"Indonesia","2010","125.4",""
"Indonesia","2009","114.4",""
"Indonesia","2008","109.1",""
"Indonesia","2007","112.7",""
"Indonesia","2006","98.0",""
"Indonesia","2005","87.6",""
"Indonesia","2004","69.1",""
"Indonesia","2003","69.5",""
"Indonesia","2002","58.1",""
"Indonesia","2001","55.5",""
"Indonesia","2000","46.5",""
"Indonesia","1999","51.3",""
"Indonesia","1998","46.4",""
"Indonesia","1997","49.7",""
"Indonesia","1996","48.8",""
"Indonesia","1995","44.3",""
"Iran (Islamic Republic of)","2011","1294.9",""
"Iran (Islamic Republic of)","2010","1097.8",""
"Iran (Islamic Republic of)","2009","825.4",""
"Iran (Islamic Republic of)","2008","717.0",""
"Iran (Islamic Republic of)","2007","600.0",""
"Iran (Islamic Republic of)","2006","550.3",""
"Iran (Islamic Republic of)","2005","523.2",""
"Iran (Islamic Republic of)","2004","425.8",""
"Iran (Islamic Republic of)","2003","393.3",""
"Iran (Islamic Republic of)","2002","382.4",""
"Iran (Islamic Republic of)","2001","353.9",""
"Iran (Islamic Republic of)","2000","305.9",""
"Iran (Islamic Republic of)","1999","289.3",""
"Iran (Islamic Republic of)","1998","279.8",""
"Iran (Islamic Republic of)","1997","247.8",""
"Iran (Islamic Republic of)","1996","216.8",""
"Iran (Islamic Republic of)","1995","209.9",""
"Iraq","2012","148.9",""
"Iraq","2011","110.4",""
"Iraq","2010","117.2",""
"Iraq","2009","134.3",""
"Iraq","2008","140.3",""
"Iraq","2007","120.1",""
"Iraq","2006","105.6",""
"Iraq","2005","107.9",""
"Iraq","2004","134.5",""
"Iraq","2003","65.9",""
"Iraq","2002","28.7",""
"Iraq","2001","28.3",""
"Iraq","2000","16.0",""
"Iraq","1999","20.6",""
"Iraq","1998","32.4",""
"Iraq","1997","23.1",""
"Iraq","1996","157.9",""
"Ireland","2012","3529.2",""
"Ireland","2011","3702.9",""
"Ireland","2010","3824.7",""
"Ireland","2009","4044.8",""
"Ireland","2008","3869.4",""
"Ireland","2007","3608.1",""
"Ireland","2006","3221.1",""
"Ireland","2005","2972.0",""
"Ireland","2004","2791.2",""
"Ireland","2003","2549.7",""
"Ireland","2002","2350.3",""
"Ireland","2001","2080.2",""
"Ireland","2000","1774.3",""
"Ireland","1999","1582.6",""
"Ireland","1998","1483.4",""
"Ireland","1997","1376.9",""
"Ireland","1996","1274.5",""
"Ireland","1995","1189.2",""
"Israel","2012","2238.8",""
"Israel","2011","2185.8",""
"Israel","2010","2052.7",""
"Israel","2009","1965.3",""
"Israel","2008","1926.1",""
"Israel","2007","1910.6",""
"Israel","2006","1770.7",""
"Israel","2005","1786.7",""
"Israel","2004","1787.5",""
"Israel","2003","1711.1",""
"Israel","2002","1825.6",""
"Israel","2001","1839.9",""
"Israel","2000","1722.0",""
"Israel","1999","1560.1",""
"Israel","1998","1584.6",""
"Israel","1997","1568.5",""
"Israel","1996","1482.0",""
"Israel","1995","1396.8",""
"Italy","2012","3040.1",""
"Italy","2011","3016.8",""
"Italy","2010","3025.7",""
"Italy","2009","3037.0",""
"Italy","2008","2977.9",""
"Italy","2007","2735.0",""
"Italy","2006","2692.4",""
"Italy","2005","2478.8",""
"Italy","2004","2351.9",""
"Italy","2003","2238.8",""
"Italy","2002","2213.2",""
"Italy","2001","2200.4",""
"Italy","2000","2028.6",""
"Italy","1999","1843.5",""
"Italy","1998","1787.8",""
"Italy","1997","1686.0",""
"Italy","1996","1568.1",""
"Italy","1995","1494.8",""
"Jamaica","2012","460.7",""
"Jamaica","2011","394.9",""
"Jamaica","2010","391.3",""
"Jamaica","2009","380.6",""
"Jamaica","2008","410.7",""
"Jamaica","2007","364.4",""
"Jamaica","2006","307.3",""
"Jamaica","2005","284.7",""
"Jamaica","2004","331.9",""
"Jamaica","2003","304.0",""
"Jamaica","2002","304.6",""
"Jamaica","2001","313.1",""
"Jamaica","2000","326.6",""
"Jamaica","1999","274.1",""
"Jamaica","1998","292.2",""
"Jamaica","1997","350.8",""
"Jamaica","1996","275.7",""
"Jamaica","1995","239.2",""
"Japan","2012","3577.7",""
"Japan","2011","3403.7",""
"Japan","2010","3213.5",""
"Japan","2009","3012.8",""
"Japan","2008","2882.7",""
"Japan","2007","2743.9",""
"Japan","2006","2602.4",""
"Japan","2005","2491.0",""
"Japan","2004","2350.0",""
"Japan","2003","2232.9",""
"Japan","2002","2141.2",""
"Japan","2001","2071.4",""
"Japan","2000","1969.1",""
"Japan","1999","1830.4",""
"Japan","1998","1746.1",""
"Japan","1997","1695.9",""
"Japan","1996","1659.1",""
"Japan","1995","1556.6",""
"Jordan","2012","483.4",""
"Jordan","2011","494.3",""
"Jordan","2010","480.7",""
"Jordan","2009","524.6",""
"Jordan","2008","474.2",""
"Jordan","2007","429.9",""
"Jordan","2006","389.8",""
"Jordan","2005","397.7",""
"Jordan","2004","373.3",""
"Jordan","2003","345.6",""
"Jordan","2002","349.2",""
"Jordan","2001","336.7",""
"Jordan","2000","309.4",""
"Jordan","1999","285.6",""
"Jordan","1998","274.8",""
"Jordan","1997","257.9",""
"Jordan","1996","248.8",""
"Jordan","1995","234.6",""
"Kazakhstan","2012","607.6",""
"Kazakhstan","2011","533.6",""
"Kazakhstan","2010","531.5",""
"Kazakhstan","2009","517.2",""
"Kazakhstan","2008","442.8",""
"Kazakhstan","2007","374.8",""
"Kazakhstan","2006","389.8",""
"Kazakhstan","2005","356.0",""
"Kazakhstan","2004","308.3",""
"Kazakhstan","2003","258.5",""
"Kazakhstan","2002","228.5",""
"Kazakhstan","2001","197.5",""
"Kazakhstan","2000","203.7",""
"Kazakhstan","1999","189.7",""
"Kazakhstan","1998","198.5",""
"Kazakhstan","1997","190.1",""
"Kazakhstan","1996","167.8",""
"Kazakhstan","1995","171.9",""
"Kenya","2012","83.5",""
"Kenya","2011","72.6",""
"Kenya","2010","71.5",""
"Kenya","2009","72.3",""
"Kenya","2008","65.0",""
"Kenya","2007","67.9",""
"Kenya","2006","64.6",""
"Kenya","2005","58.5",""
"Kenya","2004","54.0",""
"Kenya","2003","53.2",""
"Kenya","2002","53.1",""
"Kenya","2001","54.3",""
"Kenya","2000","53.3",""
"Kenya","1999","47.7",""
"Kenya","1998","50.4",""
"Kenya","1997","45.3",""
"Kenya","1996","45.8",""
"Kenya","1995","45.5",""
"Kiribati","2012","263.7",""
"Kiribati","2011","257.2",""
"Kiribati","2010","260.7",""
"Kiribati","2009","263.4",""
"Kiribati","2008","313.7",""
"Kiribati","2007","290.9",""
"Kiribati","2006","255.6",""
"Kiribati","2005","233.3",""
"Kiribati","2004","241.0",""
"Kiribati","2003","218.9",""
"Kiribati","2002","190.7",""
"Kiribati","2001","180.9",""
"Kiribati","2000","166.8",""
"Kiribati","1999","173.3",""
"Kiribati","1998","137.6",""
"Kiribati","1997","166.2",""
"Kiribati","1996","154.3",""
"Kiribati","1995","148.0",""
"Kuwait","2012","1376.7",""
"Kuwait","2011","1190.4",""
"Kuwait","2010","1032.2",""
"Kuwait","2009","1799.2",""
"Kuwait","2008","993.3",""
"Kuwait","2007","1110.7",""
"Kuwait","2006","1135.6",""
"Kuwait","2005","1143.1",""
"Kuwait","2004","1237.3",""
"Kuwait","2003","1381.9",""
"Kuwait","2002","1313.4",""
"Kuwait","2001","1313.3",""
"Kuwait","2000","924.9",""
"Kuwait","1999","1325.5",""
"Kuwait","1998","1711.9",""
"Kuwait","1997","1424.1",""
"Kuwait","1996","1329.8",""
"Kuwait","1995","1404.6",""
"Kyrgyzstan","2012","175.1",""
"Kyrgyzstan","2011","151.6",""
"Kyrgyzstan","2010","152.9",""
"Kyrgyzstan","2009","156.8",""
"Kyrgyzstan","2008","136.7",""
"Kyrgyzstan","2007","141.4",""
"Kyrgyzstan","2006","125.3",""
"Kyrgyzstan","2005","102.6",""
"Kyrgyzstan","2004","95.7",""
"Kyrgyzstan","2003","84.9",""
"Kyrgyzstan","2002","77.8",""
"Kyrgyzstan","2001","67.7",""
"Kyrgyzstan","2000","61.8",""
"Kyrgyzstan","1999","66.2",""
"Kyrgyzstan","1998","70.4",""
"Kyrgyzstan","1997","61.6",""
"Kyrgyzstan","1996","60.9",""
"Kyrgyzstan","1995","59.4",""
"Lao People's Democratic Republic","2012","84.4",""
"Lao People's Democratic Republic","2011","75.5",""
"Lao People's Democratic Republic","2010","65.1",""
"Lao People's Democratic Republic","2009","83.4",""
"Lao People's Democratic Republic","2008","89.0",""
"Lao People's Democratic Republic","2007","83.7",""
"Lao People's Democratic Republic","2006","79.2",""
"Lao People's Democratic Republic","2005","72.6",""
"Lao People's Democratic Republic","2004","70.9",""
"Lao People's Democratic Republic","2003","70.8",""
"Lao People's Democratic Republic","2002","54.2",""
"Lao People's Democratic Republic","2001","51.6",""
"Lao People's Democratic Republic","2000","39.5",""
"Lao People's Democratic Republic","1999","41.6",""
"Lao People's Democratic Republic","1998","67.0",""
"Lao People's Democratic Republic","1997","63.9",""
"Lao People's Democratic Republic","1996","43.7",""
"Lao People's Democratic Republic","1995","37.0",""
"Latvia","2012","1188.1",""
"Latvia","2011","1140.8",""
"Latvia","2010","1103.8",""
"Latvia","2009","1088.2",""
"Latvia","2008","1191.8",""
"Latvia","2007","1197.9",""
"Latvia","2006","1014.1",""
"Latvia","2005","825.9",""
"Latvia","2004","762.6",""
"Latvia","2003","651.3",""
"Latvia","2002","614.6",""
"Latvia","2001","543.8",""
"Latvia","2000","479.1",""
"Latvia","1999","477.1",""
"Latvia","1998","443.3",""
"Latvia","1997","408.1",""
"Latvia","1996","357.1",""
"Latvia","1995","315.7",""
"Lebanon","2012","1015.6",""
"Lebanon","2011","1003.4",""
"Lebanon","2010","988.1",""
"Lebanon","2009","952.2",""
"Lebanon","2008","877.9",""
"Lebanon","2007","856.0",""
"Lebanon","2006","796.9",""
"Lebanon","2005","746.6",""
"Lebanon","2004","782.6",""
"Lebanon","2003","835.9",""
"Lebanon","2002","911.3",""
"Lebanon","2001","985.9",""
"Lebanon","2000","960.9",""
"Lebanon","1999","953.4",""
"Lebanon","1998","1007.1",""
"Lebanon","1997","1095.2",""
"Lebanon","1996","1232.5",""
"Lebanon","1995","1096.9",""
"Lesotho","2012","226.8",""
"Lesotho","2011","218.6",""
"Lesotho","2010","191.5",""
"Lesotho","2009","160.4",""
"Lesotho","2008","140.3",""
"Lesotho","2007","125.3",""
"Lesotho","2006","98.4",""
"Lesotho","2005","81.5",""
"Lesotho","2004","85.6",""
"Lesotho","2003","83.9",""
"Lesotho","2002","76.6",""
"Lesotho","2001","82.3",""
"Lesotho","2000","71.5",""
"Lesotho","1999","65.7",""
"Lesotho","1998","66.0",""
"Lesotho","1997","63.4",""
"Lesotho","1996","67.5",""
"Lesotho","1995","63.7",""
"Liberia","2012","101.7",""
"Liberia","2011","92.5",""
"Liberia","2010","71.5",""
"Liberia","2009","72.5",""
"Liberia","2008","54.0",""
"Liberia","2007","43.1",""
"Liberia","2006","40.2",""
"Liberia","2005","27.0",""
"Liberia","2004","26.8",""
"Liberia","2003","11.0",""
"Liberia","2002","25.7",""
"Liberia","2001","23.2",""
"Liberia","2000","17.8",""
"Liberia","1999","14.9",""
"Liberia","1998","12.6",""
