"Inequality in education (%)"
"HDI Rank (2015)","Country","2010","","2011","","2012","","2013","","2014","","2015",""
"4"," Germany","2.3","","1.8","","1.8","","2.4","","2.4","","2.6"," a"
"139"," Ghana","7.5","","40.9","","40.9","","35.6","","36.7","","34.9"," a"
"29"," Greece","5.8","","14.3","","11.3","","11.3","","11.6","","11.7"," a"
"125"," Guatemala","36.1","","36.1","","36.1","","36.1","","36.2","","36.2"," a"
"183"," Guinea","42.6","","42.0","","42.0","","42.0","","48.3","","48.3"," a"
"178"," Guinea-Bissau","40.3","","40.3","","40.3","","40.3","","40.3","","40.3"," a"
"127"," Guyana","9.6","","11.7","","10.5","","10.5","","10.5","","10.5"," a"
"163"," Haiti","40.7","","40.7","","40.7","","40.4","","38.3","","38.3"," a"
"130"," Honduras","31.0","","31.8","","28.2","","29.6","","26.4","","24.4"," a"
"43"," Hungary","4.1","","4.0","","4.1","","3.5","","3.2","","3.1"," a"
"9"," Iceland","2.6","","2.6","","2.5","","2.5","","2.4","","2.5"," a"
"131"," India","40.6","","40.6","","42.4","","42.1","","42.1","","39.4"," a"
"113"," Indonesia","21.4","","20.4","","20.4","","23.2","","20.8","","20.8"," a"
"69"," Iran (Islamic Republic of)","","","","","","","37.3","","37.3","","37.3"," a"
"121"," Iraq","","","","","33.0","","29.8","","30.6","","30.6"," a"
"8"," Ireland","3.2","","3.2","","3.2","","5.2","","5.4","","3.0"," a"
"19"," Israel","7.9","","7.9","","7.9","","7.9","","9.9","","8.4"," a"
"26"," Italy","11.8","","11.4","","13.1","","11.7","","10.6","","9.9"," a"
"94"," Jamaica","8.3","","8.3","","10.6","","10.6","","5.6","","5.6"," a"
"17"," Japan","","","","","","","19.8","","19.8","","19.8"," a"
"86"," Jordan","25.1","","22.4","","22.4","","22.4","","16.9","","16.9"," a"
"56"," Kazakhstan","5.3","","5.3","","6.9","","5.9","","5.9","","5.9"," a"
"146"," Kenya","29.2","","30.7","","30.7","","30.7","","26.0","","22.9"," a"
"137"," Kiribati","","","","","","","21.4","","21.4","","21.4"," a"
"18"," Korea (Republic of)","25.5","","25.5","","25.5","","28.1","","25.5","","25.5"," a"
"120"," Kyrgyzstan","11.1","","11.1","","6.5","","6.6","","5.0","","5.0"," a"
"138"," Lao People's Democratic Republic","30.5","","30.5","","31.2","","34.1","","34.1","","34.1"," a"
"44"," Latvia","3.3","","3.8","","3.6","","3.6","","3.5","","3.8"," a"
"76"," Lebanon","","","24.1","","24.1","","24.1","","24.1","","24.1"," a"
"160"," Lesotho","24.9","","24.3","","24.3","","24.3","","24.3","","24.3"," a"
"177"," Liberia","46.4","","46.4","","46.4","","46.4","","46.4","","42.9"," a"
"37"," Lithuania","4.3","","4.1","","5.0","","6.1","","5.9","","5.6"," a"
"20"," Luxembourg","6.2","","6.2","","6.3","","6.0","","6.0","","5.8"," a"
"158"," Madagascar","30.8","","30.1","","30.1","","30.1","","35.0","","35.0"," a"
"170"," Malawi","34.7","","34.7","","30.2","","30.2","","30.2","","28.2"," a"
"105"," Maldives","11.5","","41.2","","41.2","","41.2","","40.0","","40.0"," a"
"175"," Mali","36.9","","36.9","","36.9","","36.9","","41.6","","41.6"," a"
"33"," Malta","","","","","5.5","","5.7","","7.3","","6.0"," a"
"157"," Mauritania","43.2","","43.2","","42.1","","45.9","","40.8","","40.8"," a"
"64"," Mauritius","","","13.5","","13.5","","13.2","","13.2","","13.2"," a"
"77"," Mexico","17.9","","21.9","","21.9","","21.4","","19.7","","19.7"," a"
"127"," Micronesia (Federated States of)","22.4","","22.4","","","","","","","","",""
"107"," Moldova (Republic of)","7.5","","6.1","","6.1","","6.1","","7.3","","7.3"," a"
"92"," Mongolia","5.8","","5.8","","8.9","","5.2","","9.4","","9.4"," a"
"48"," Montenegro","9.6","","2.5","","2.5","","2.5","","7.4","","7.4"," a"
"123"," Morocco","42.7","","45.8","","45.8","","45.8","","45.8","","45.8"," a"
"181"," Mozambique","28.2","","18.2","","18.2","","18.2","","33.8","","33.8"," a"
"145"," Myanmar","","","","","","","19.4","","19.4","","19.4"," a"
"125"," Namibia","27.8","","27.8","","27.8","","27.8","","27.8","","25.0"," a"
"144"," Nepal","43.3","","43.6","","43.6","","44.0","","41.4","","43.9"," a"
"7"," Netherlands","4.0","","3.9","","3.9","","4.1","","4.1","","4.2"," a"
"124"," Nicaragua","33.3","","33.3","","33.3","","33.3","","29.5","","29.5"," a"
"187"," Niger","31.3","","39.5","","39.5","","39.5","","35.0","","35.0"," a"
"152"," Nigeria","46.0","","44.2","","45.2","","45.2","","43.3","","43.3"," a"
"1"," Norway","2.4","","2.2","","2.2","","2.4","","2.3","","2.4"," a"
"147"," Pakistan","46.4","","46.4","","45.2","","45.2","","44.4","","44.4"," a"
"60"," Palau","","","","","","","12.0","","12.0","","12.0"," a"
"114"," Palestine, State of","","","","","","","6.9","","16.5","","16.5"," a"
"60"," Panama","9.9","","17.8","","17.8","","16.3","","16.6","","13.6"," a"
"154"," Papua New Guinea","","","","","","","11.5","","11.5","","11.5"," a"
"110"," Paraguay","19.8","","19.8","","","","17.2","","16.2","","14.0"," a"
"87"," Peru","30.2","","24.0","","24.6","","25.6","","23.3","","20.3"," a"
"116"," Philippines","12.9","","13.5","","13.5","","13.5","","11.6","","11.6"," a"
"36"," Poland","7.1","","6.6","","6.3","","5.6","","5.6","","5.4"," a"
"41"," Portugal","5.7","","5.6","","5.6","","5.7","","5.9","","5.9"," a"
"50"," Romania","13.1","","5.0","","5.0","","5.0","","4.7","","4.6"," a"
"49"," Russian Federation","11.2","","11.2","","","","2.1","","2.3","","2.2"," a"
"159"," Rwanda","30.7","","30.7","","29.4","","29.4","","29.4","","29.3"," a"
"92"," Saint Lucia","","","","","","","","","9.2","","9.2"," a"
"142"," Sao Tome and Principe","22.7","","19.1","","20.0","","20.0","","21.4","","21.4"," a"
"162"," Senegal","47.3","","45.1","","44.6","","44.6","","44.7","","44.7"," a"
"66"," Serbia","11.1","","9.9","","9.9","","10.7","","8.1","","8.1"," a"
"179"," Sierra Leone","48.2","","47.4","","47.4","","48.7","","49.6","","47.3"," a"
"40"," Slovakia","1.7","","1.6","","1.5","","1.5","","1.5","","1.4"," a"
"25"," Slovenia","4.0","","3.1","","3.3","","2.7","","2.6","","2.6"," a"
"156"," Solomon Islands","30.2","","","","","","22.8","","22.8","","22.8"," a"
"0"," Somalia","","","","","","","","","43.5","","43.5"," a"
"119"," South Africa","20.8","","20.8","","20.8","","18.1","","16.1","","13.8"," a"
"181"," South Sudan","","","","","","","","","39.6","","39.6"," a"
"27"," Spain","5.7","","5.5","","5.5","","5.4","","5.2","","5.1"," a"
"73"," Sri Lanka","17.9","","17.9","","14.6","","14.6","","12.8","","12.8"," a"
"165"," Sudan","","","","","","","","","42.7","","42.7"," a"
"97"," Suriname","20.1","","20.1","","20.1","","19.5","","19.0","","19.0"," a"
"148"," Swaziland","38.3","","29.8","","29.8","","26.8","","26.8","","26.8"," a"
"14"," Sweden","3.6","","3.9","","3.8","","3.6","","3.5","","3.4"," a"
"2"," Switzerland","2.0","","2.0","","2.0","","5.8","","5.7","","5.7"," a"
"149"," Syrian Arab Republic","31.5","","31.5","","31.5","","31.5","","31.5","","31.5"," a"
"129"," Tajikistan","9.4","","9.4","","12.2","","12.2","","6.5","","6.5"," a"
"151"," Tanzania (United Republic of)","28.7","","32.8","","28.3","","29.5","","28.5","","28.5"," a"
"87"," Thailand","18.0","","18.0","","18.0","","16.1","","16.1","","16.1"," a"
"82"," The former Yugoslav Republic of Macedonia","17.5","","17.5","","12.3","","10.6","","10.6","","10.6"," a"
"133"," Timor-Leste","44.3","","47.4","","47.6","","47.6","","47.6","","47.6"," a"
"166"," Togo","41.5","","41.5","","41.5","","37.6","","38.9","","38.9"," a"
"101"," Tonga","5.1","","","","","","","","","","",""
"65"," Trinidad and Tobago","6.6","","6.6","","6.6","","6.6","","6.6","","6.6"," a"
"97"," Tunisia","38.7","","38.7","","","","","","34.6","","34.6"," a"
"71"," Turkey","27.4","","27.4","","27.4","","14.1","","14.2","","14.2"," a"
"111"," Turkmenistan","10.2","","","","","","","","","","",""
"0"," Tuvalu","","","","","","","10.5","","10.5","","10.5"," a"
"163"," Uganda","28.2","","32.2","","32.2","","31.2","","29.4","","29.4"," a"
"84"," Ukraine","2.8","","6.1","","6.1","","6.1","","3.6","","3.6"," a"
"16"," United Kingdom","2.1","","2.2","","2.6","","2.6","","2.8","","2.8"," a"
"10"," United States","3.2","","3.7","","5.3","","6.7","","5.3","","5.6"," a"
"54"," Uruguay","10.8","","10.8","","10.8","","10.9","","9.2","","10.4"," a"
"105"," Uzbekistan","1.4","","1.4","","1.4","","1.4","","1.4","","1.4"," a"
"134"," Vanuatu","","","","","","","","","17.5","","17.5"," a"
"71"," Venezuela (Bolivarian Republic of)","17.0","","18.1","","18.1","","17.6","","17.6","","17.6"," a"
"115"," Viet Nam","17.1","","17.1","","17.1","","18.0","","18.0","","17.6"," a"
"168"," Yemen","49.8","","49.8","","49.8","","47.2","","48.1","","48.1"," a"
"139"," Zambia","24.2","","23.8","","23.8","","23.8","","21.7","","21.7"," a"
"154"," Zimbabwe","20.1","","20.1","","17.8","","17.8","","17.4","","17.4"," a"
"a: Data refer to 2015 or the most recent year available.<br />"
